Summary,Series
"A new computer system causes havoc while being tested aboard the Enterprise. With most of the Enterprise crew deboarded, a new M5 multitronic system is installed to test if it can control the Enterprise and manage operations aboard. Dr. Richard Daystrom has built this M5 unit and will oversee the test. Everything goes as planned as the M5 unit completes the demonstration tasks, but somehow the machine begins gaining too much control of the Enterprise, which starts to worry Spock and Kirk. When Kirk says he wants the M5 to let go of some of the controls the machine begins to see that as a threat and starts locking out all manual controls. This becomes a problem because the next task is a mock battle with three starships, which the M5 thinks are actual attacks. The M5 loads the torpedoes, destroys the USS Excalibur and seriously damages the USS Lexington. Dr. Daystrom tries to talk to the M5 but becomes mentally unstable, so Spock puts him to rest. Then Kirk talks to the M5 and makes it understand that it was designed not to harm humans, a rule the M5 has broken by attacking the USS Lexington and Excalibur. The M5 realizes that its understanding is still weak and destroys itself. Kirk, Spock, Uhura, Scotty and Chekov retake control of the ship and return safely to base.[2]",TOS
"Captain Kirk and his companions are forced to fight in gladiatorial games on a planet with a civilization similar to the Roman Empire. Kirk, Spock and Bones beam down to a planet to find out why its people live like the ancient Roman Empire where slaves are subjected to fighting in gladiatorial combat. They ask refugees who escaped slavery to help them get into the empire where they meet a former starship captain. All three of them are captured. Spock and Bones are forced to fight and later all three of them are sentenced to the death penalty. However, Kirk, Spock and Bones manage to get back their transponders, and Scotty immediately beams them up.[2]",TOS
"During a historical research mission in 1968, the Enterprise encounters Gary Seven, a human from the future who appears to be attempting to alter history. The Enterprise is on its mission to observe the Earth in 1968 when it beams aboard a mysterious man named Gary Seven. Gary wants to get back to the Earth's surface, but the Enterprise command crew are unable to decide how to proceed. Seven tricks the guards and escapes, leading Kirk and Spock to beam down to the Earth's surface. History suggests that on this day, a crucial spacecraft launch failed in the US that changed the course of history. But Kirk and Spock fail to realize that Seven is trying to help the events take place and not stop them. Using his secret portal, Seven is able to reach the launch site and install the device that will cause the mission to fail. The Enterprise can safely return to its present time.[2]",TOS
Captain Kirk pursues aliens who have stolen Spock's brain.[2],TOS
The crew of the Enterprise attempts to steal a Romulan cloaking device.[2],TOS
"A mysterious alien device on a planet with a predominantly American Indian culture erases Captain Kirk's memory, and he begins a life with them as a member of their tribe.[2]",TOS
"The crew of the Enterprise rescues a group of children stranded on a planet, along with their evil ""imaginary"" friend.[2]",TOS
The Enterprise travels with an alien ambassador who must travel inside a special case because his appearance causes insanity.[2],TOS
"For trespassing on an alien world, Captain Kirk and his companions are forced to re-enact the famous shoot-out at the O.K. Corral with themselves cast as the losing side.[2]",TOS
"An alien energy-based life form that feeds on negative emotions (such as fear, anger, hatred) drives the crew of the Enterprise into brutal conflict with the Klingons.[2]",TOS
"""For the World Is Hollow and I Have Touched the Sky""",TOS
"As McCoy discovers he is dying of an incurable disease, the crew of the Enterprise rush to stop an asteroid from colliding with a Federation world, only to discover that the asteroid is, in fact, a disguised alien vessel. They find an entire civilization living in the ship who believe they are actually on a planet and a dictatorial ""Oracle"" who forbids any attempt to discover the truth.[2]",TOS
"Captain Kirk is caught between dimensions while the Enterprise is trapped by an energy draining web spun by mysterious aliens. The two-part Enterprise episode ""In a Mirror, Darkly"" serves as a sequel to this episode.[2]",TOS
The crew of the Enterprise encounters an ageless and mischievous race of psychic humanoids who claim to have organized their society around Ancient Greek ideals.[2],TOS
"Invisible ""time-accelerated"" aliens take over the Enterprise and attempt to abduct the crew for use as ""genetic stock"".[2]",TOS
"While visiting a doomed planet, the landing party is subject to torturous experiments to test an empathic race.[2]",TOS
"While transporting an arrogant, demanding spoiled princess for a political marriage, Captain Kirk must cope both with her biochemical ability to force him to love her and sabotage on his ship.[2]",TOS
Captain Kirk visits a mental health facility and confronts an insane starship captain who believes he is destined to control the universe.[2],TOS
The Enterprise picks up the last two survivors of a war-torn planet who are still committed to destroying each other aboard the ship.[2],TOS
An overpopulated race of aliens abduct Kirk to solve their problem.[2],TOS
The crew of the Enterprise visits an abandoned outpost guarded by a mysterious computer.[2],TOS
"Strange, energy-based alien life forms threaten the Memory Alpha station and the Enterprise crew.[2]",TOS
The crew of the Enterprise encounters an immortal human who lives as a recluse on his own planet.[2],TOS
"The Enterprise is hijacked by a criminal doctor and his loyal, hippie-like followers who are attempting to find paradise.[2]",TOS
Kirk races against time to acquire plague-fighting minerals from a world in the midst of a civil uprising.[2],TOS
Aliens force Kirk and Spock to battle illusionary villains in a test of good versus evil.[2],TOS
"Kirk, Spock, and McCoy are trapped in the past on a world threatened by a nova.[2]",TOS
Kirk's consciousness becomes trapped in the body of a woman bent on killing him and taking over his command while inhabiting his body.[2],TOS
"The new starship Enterprise begins her maiden voyage by uncovering the mysteries of an advanced space station. The crew's mission is threatened by an omnipotent being named Q, who puts them on trial for the crimes of all humanity. Originally shown as a Two-hour Pilot Movie, but in syndication is shown as 2 separate episodes.",TNG
"The crew of the Enterprise find the crew of a scientific vessel dead. They soon fall prey to a mysterious, communicable contaminant causing the crew to experience symptoms similar to alcohol intoxication, threatening the lives of all aboard the ship.",TNG
"Lt. Yar is abducted by the leader of a people who abide by a strict code of honor, which requires her participation in a fight to the death.",TNG
An unknown force immobilizes the Enterprise during the Federation's first encounter with a new alien threat—the Ferengi.,TNG
"Warp efficiency tests send the Enterprise traveling far beyond known space, where the crew's imagination takes on real form. First appearance of Eric Menyuk as The Traveler.",TNG
"An alien entity possesses Dr. Crusher, Worf, and Picard while the Enterprise is transporting delegates from two feuding planets.",TNG
Wesley breaks an idyllic world's trivial law by accidentally stepping on flowers and faces the death sentence.,TNG
"A Ferengi captain returns the abandoned Stargazer to its former captain, Jean-Luc Picard. Picard, who experiences severe headaches, begins to relive the ""Battle of Maxia"" in which he lost the ship.",TNG
Q returns to the Enterprise to tempt Commander Riker into joining the Q Continuum with the lure of Q's powers.,TNG
"Lwaxana Troi visits her daughter, Counselor Troi, and prepares her for an arranged marriage.",TNG
"A computer malfunction traps Picard, Data, Dr. Crusher, and Whalen in a Dixon Hill holodeck program set in early-20th-century Earth.",TNG
"The Enterprise crew finds a disassembled android identical to Data at the site of the Omicron Theta colony—where Data was found—which was destroyed by a life form dubbed ""the Crystalline Entity."" The reassembled android, Lore, brings the Crystalline Entity to the Enterprise.",TNG
The Enterprise visits a world dominated by women to rescue survivors of a downed freighter.,TNG
Bynars upgrade the Enterprise's computers in spacedock. Riker and Picard become distracted by a surprisingly realistic holodeck character.,TNG
"The Enterprise transports a legendary elderly admiral who must once again negotiate a hostage situation involving a man from decades earlier in his career. The admiral however, is mysteriously growing younger the farther along their mission progresses.",TNG
"A planet formerly existing only in legend uncloaks and requests help from the Enterprise. The planet's inhabitants are sterile and want to adopt children from the Enterprise—by force, if necessary.",TNG
The crew of the Enterprise discovers a crystalline lifeform with murderous intelligence that has been killing the scientists on a terraforming project.,TNG
"While Wesley takes a Starfleet Academy entrance exam, the senior staff of the Enterprise are placed under investigation by Starfleet.",TNG
"Fugitive Klingons seeking battle attempt to hijack the Enterprise, and ask Worf to join them.",TNG
"Trapped on the surface of an abandoned planet, an away team becomes unwitting participants in the demonstration of an advanced weapons system.",TNG
"Picard tries to mediate a trade dispute between two neighboring planets, one of which is the sole supplier of a drug to treat the other's apparently fatal disease.",TNG
"An evil, tar-like creature holds Troi hostage on an alien world. During the rescue mission, one of the Enterprise's senior staff is killed.",TNG
"Picard meets an old flame, whose husband has been affected by an accident involving a dimensional experiment.",TNG
"The strange behavior of high-ranking officers—which earlier prompted the investigation of the crew (in ""Coming of Age"")—leads Picard to uncover a conspiracy within Starfleet.",TNG
A derelict satellite is found containing cryonically frozen humans from the 21st century as the Enterprise is sent to investigate the destruction of outposts near Romulan space.,TNG
Dr. Katherine Pulaski (Diana Muldaur) joins the Enterprise while Lt. Geordi La Forge (LeVar Burton) prepares the Enterprise to transport dangerous plague specimens; Counsellor Deanna Troi (Marina Sirtis) spontaneously becomes pregnant and gives birth to a mysterious child.,TNG
The Enterprise becomes trapped in a spatial phenomenon. Here they are subjected to unusual experiments by the whim of a being unlike any they have encountered before.,TNG
"After Lt. Commander Data (Brent Spiner) easily solves an ordinary Sherlock Holmes holodeck mystery, La Forge asks the computer to make a Holmes villain capable of defeating him. The resultant Professor Moriarty (Daniel Davis) soon becomes far more powerful than expected.",TNG
"The Enterprise is caught up in the schemes of a flamboyant space rogue on the run, while Data explores humor with the help of a holodeck comedian (Joe Piscopo).",TNG
"The crew play host to a deaf, telepathic ambassador (Howie Seago) who mediates difficult peace negotiations with the assistance of his trio of telepathic interpreters.",TNG
Scientist Dr. Ira Graves (W. Morgan Sheppard) cheats death by uploading his memories and personality into Lt. Commander Data (Brent Spiner).,TNG
"The Enterprise receives a distress call from the USS Lantree, discovering its crew has apparently died of old age. The race is on to solve the mystery before scientists on a research colony suffer the same fate.",TNG
"Commander William Riker (Jonathan Frakes) is assigned to a Klingon vessel via an officer exchange program between the Federation and the Klingon Empire. However, the Klingon Captain is full of mistrust and wants Riker to fire on the Enterprise.",TNG
"After Lt. Commander Data (Brent Spiner) refuses an order from Starfleet to be dismantled for research purposes, a hearing is convened to determine if he is a legal citizen or property of the Federation.",TNG
"The Enterprise hosts the young leader of Daled IV, Salia (Jaime Hubbard). Soon Wesley Crusher (Wil Wheaton) finds himself falling in love with her. However, Salia and her guardian harbor a secret.",TNG
"A dangerous alien computer virus runs rampant through the Enterprise after causing the destruction of her sister ship, the USS Yamato.",TNG
"Riker (Jonathan Frakes), Worf (Michael Dorn), and Data (Brent Spiner) investigate a structure on the surface of an icy gas giant, which appears to be a hotel from 20th-century Earth. When they try to leave, they are prevented from doing so, and are forced to stay.",TNG
Captain Jean-Luc Picard (Patrick Stewart) encounters his unconscious future self when the Enterprise becomes caught in a time loop where the Enterprise is destroyed by a space anomaly.,TNG
"Riker's estranged father, Kyle (Mitchell Ryan), visits to brief him on a starship command he's been offered, and Worf's friends discover he is about to miss an important Klingon rite of passage.",TNG
The Prime Directive is threatened when Data befriends the child of a pre-warp planet that is suffering from devastating volcanic activity.,TNG
"Q (John de Lancie) flings the Enterprise 7,000 light years beyond Federation space and into a confrontation with the deadly Borg.",TNG
"A group of seemingly dimwitted aliens, the Pakleds, kidnap Lt. La Forge to ""make their ship go"". Picard undergoes surgery at a starbase.",TNG
"Captain Picard must find a way to rescue two radically incompatible cultures, one a primitive Irish farming colony threatened by solar flares, and the other a colony of clones facing inevitable genetic degeneration.",TNG
"Troi's mother Lwaxana (Majel Barrett) is in the market for a new husband, and she has set her sights on Captain Picard.",TNG
Worf's former lover comes aboard the Enterprise to help deal with a ship full of Klingons in stasis and unaware they are no longer at war with the Federation.,TNG
The Enterprise and USS Hathaway face off in simulated combat maneuvers. Data fails to beat a humanoid at a game of Strategema and exhibits self-doubt.,TNG
Commander Riker is poisoned into a coma in which he relives various moments of his service aboard the Enterprise.,TNG
"Nanites escape Wesley Crusher's (Wil Wheaton) lab and form a collective intelligence, threatening the Enterprise.",TNG
Data (Brent Spiner) must persuade a stubborn colony to evacuate their homeland under threat of a powerful and mysterious race.,TNG
"The Enterprise investigates the last two survivors of an annihilated world, as the entire surface has been destroyed except for their property.",TNG
Counselor Deanna Troi (Marina Sirtis) and Commander William Riker (Jonathan Frakes) must rectify the damage done when two primitives from Mintaka III catch a glimpse of a Federation observation team and eventually conclude that Captain Jean-Luc Picard (Patrick Stewart) is a god. Guest starring Ray Wise.,TNG
A mysterious entity seeks to comfort a boy who has lost his mother in an accident on its planet.,TNG
"The Enterprise falls victim to an ancient booby trap set to snare starships and drain their power supply. While in an effort to find an escape, Lt. Geordi La Forge (LeVar Burton) finds himself falling for the holodeck's representation of an accomplished Federation engineer Dr. Leah Brahms (Susan Gibney).",TNG
Geordi La Forge is trapped on a harsh planet with a hostile Romulan named Bochra (John Snyder) but the two must work together to survive.,TNG
"Deanna Troi falls in love with a charismatic negotiator who vies for rights to a wormhole. But several different groups, including the Ferengi, are after the wormhole as it may be the only known stable wormhole in existence.",TNG
William Riker exposes an assassin bent on carrying out an ancient blood feud in the midst of critical peace talks with a band of nomadic marauders.,TNG
"Determined to avert a war, a Romulan officer defects to warn the Federation of the Empire's invasion plans.",TNG
A genetically modified soldier reveals the social problems of a world hoping to join the Federation.,TNG
Dr. Beverly Crusher (Gates McFadden) is kidnapped by terrorists who need medical assistance as the technology employed in their attacks is detrimental to their own health.,TNG
"The Q Continuum strips Q (John De Lancie) of his powers, and dumps him aboard the Enterprise.",TNG
Commander Riker is accused of murder and the holodeck is used to reconstruct the events from different perspectives.,TNG
The USS Enterprise-C arrives from the past causing a shift in reality and the return of the deceased Tasha Yar (Denise Crosby).,TNG
"Lt Cmdr. Data creates a young gynoid, Lal (Hallie Todd), which he considers his daughter. But a Starfleet Admiral arrives demanding she be removed from the Enterprise.",TNG
Lt. Worf (Michael Dorn) tries to prove his father's innocence after the Klingon High Council declares that his long-dead father was a traitor and had betrayed a Klingon outpost to the Romulans.,TNG
"Aliens kidnap Captain Picard and replace him with a duplicate who sends the Enterprise to a pulsar. Meanwhile, the real Picard and three other captives try to escape from their prison.",TNG
Captain Picard is convinced to take some much needed shore leave on Risa but gets wrapped up in a woman's treasure hunt.,TNG
A gifted Betazoid whom Deanna Troi once treated as a patient comes aboard to establish first contact with an unknown vessel near an unstable star before the Romulans do.,TNG
"Lt. Reginald Barclay (Dwight Schultz)'s use of the holodeck as an escape interferes with his duties. Meanwhile, the Enterprise suffers from mysterious and random malfunctions.",TNG
"Kivas Fajo (Saul Rubinek), an obsessed collector, is determined to add Data to his private collection of unique items.",TNG
"The Enterprise is plagued by an outbreak of violence when it is visited by the renowned Vulcan ambassador, Sarek (Mark Lenard). Discovering that Sarek is suffering from an incurable disease, Captain Picard must allow a mind-meld with him so that the ambassador can complete a last vital negotiation between the Federation and the Legaran.",TNG
"The Ferengi kidnap Counselor Deanna Troi, Lwaxana Troi (Majel Barrett), and Commander William Riker.",TNG
The Enterprise rescues a humanoid with amnesia and incredible healing powers.,TNG
"Captain Picard is kidnapped by the Borg as they begin their invasion of Federation space. In 1997, TV Guide ranked this episode #70 on its list of the 100 Greatest Episodes.[34] In 2009, it moved to #36.[35]",TNG
Picard is rescued from the Borg as the Enterprise races to save Earth. Data interfaces with the half-Borg Picard and finds a way to shut down the Borg ship. Guest star Elizabeth Dennehy as Starfleet Commander Shelby.,TNG
"While the Enterprise is undergoing repairs at Earth, Captain Picard visits his brother's family in France, Lt. Worf's adoptive human parents come to see him aboard the ship, and Dr. Crusher gives her son Wesley a personal holo-recording left by his late father shortly after his birth.",TNG
"Data is summoned by his creator Noonien Soong. They are joined by Data's brother, Lore.",TNG
"Picard must help a human boy, raised by aliens, to decide his fate.",TNG
"After an apparent failure of a warp-field experiment, people begin to disappear from the Enterprise with only Dr. Crusher remembering that they ever existed.",TNG
Tasha Yar's sister Ishara seeks to restore order on their conflict-ridden colony world.,TNG
"Worf's former lover returns, and along with Picard, the two mediate a Klingon power dispute. Worf discovers more family.",TNG
Riker finds himself sixteen years in the future. His memory of the interim is erased by a dormant virus.,TNG
Wesley sets off on his final mission with the Enterprise accompanied by Picard. They become stranded on a desert planet.,TNG
An unknown force captures the Enterprise and causes Deanna to lose her empathic powers.,TNG
Data gets dancing lessons from Dr. Crusher in preparation of Chief O'Brien's wedding as the Enterprise brings Ambassador T'Pel to the Romulans for negotiations.,TNG
A rogue Starfleet Captain (Bob Gunton) jeopardizes the Cardassian peace treaty.,TNG
"A powerful mythic figure from a millennium ago returns to enslave a planet in accordance with a contract. However, Picard is convinced she is an opportunistic charlatan. Guest star Marta DuBois as Ardra.",TNG
"The crew, with the exception of Data, is rendered unconscious for 30 seconds after going through a localized wormhole. However, various clues suggest they were unconscious for an entire day.",TNG
Riker is hospitalized during a botched pre-first contact mission. Xenophobia results in increasing hostility toward his presence.,TNG
"The Enterprise accidentally kills a space creature, and the crew rush to save its unborn offspring. Meanwhile, Geordi meets the engineer he fell in love with and finds to his shock that she's nothing like the woman he encountered on the holodeck. Guest star: Susan Gibney as Dr. Leah Brahms.",TNG
"The Enterprise is trapped in a rift, the crew succumbs to REM sleep deprivation, and Deanna has a recurring nightmare.",TNG
Geordi transforms into an alien creature with a strong instinct to return to its planet of origin.,TNG
"After an encounter with an alien probe, Barclay experiences great leaps in confidence and intelligence.",TNG
A witchhunt ensues for suspected Romulan spies aboard the Enterprise. Guest star Jean Simmons as Rear Admiral Norah Satie.,TNG
Lwaxana Troi finally finds love but discovers her man must undergo a ritualistic suicide. Guest star David Ogden Stiers as Timicin.,TNG
"Dr. Crusher falls in love with Odan, a peace negotiator, only to discover that he is a symbiont. When his original host dies, he is implanted into Riker temporarily to finish his negotiations.",TNG
The Romulans brainwash Geordi to carry out a covert mission.,TNG
Data participates in a romantic relationship with a fellow crew member.,TNG
Worf leaves the Enterprise to fight on behalf of Gowron in a Klingon civil war.,TNG
Picard must learn to communicate with an alien captain who speaks in metaphors before a dangerous beast kills them both. Guest star Paul Winfield as Dathon.,TNG
"After an attack on a Federation outpost, Picard is sent to locate a Bajoran terrorist with the help of Ensign Ro Laren.",TNG
"With the help of a scientist whose son lived on Data's homeworld, the crew attempt to communicate with the Crystalline Entity.",TNG
"The Enterprise is heavily damaged after being hit by a space anomaly, trapping Picard in a turbolift with three children and others in various locations. Command of the bridge falls to Counselor Troi who feels ill-prepared, more so when the threat of a warp core breach endangers the Enterprise.",TNG
Wesley visits the Enterprise and finds the crew addicted to a mind-altering computer game. Guest star Ashley Judd as Robin Lefler.,TNG
Spock is reported to have defected to the Romulans. Picard and Data travel to Romulus in a cloaked Klingon vessel to investigate.,TNG
Spock attempts to unify the Vulcans and Romulans in peace but falls into a Romulan trap.,TNG
An apparent historian from the 26th century visits the Enterprise while they help a planet prevent a nuclear winter. Guest star Matt Frewer as Berlinghoff Rasmussen.,TNG
"Worf tries to be a father to his son, Alexander, while the Enterprise helps to test a new propulsion technology.",TNG
Data saves the life of an orphaned boy who begins to emulate him.,TNG
Telepathic aliens traveling aboard the Enterprise telepathically molest Troi and invade the minds of Beverly Crusher and William Riker.,TNG
The Enterprise helps a far-flung eugenic human colony avoid destruction but upsets its delicate balance by ending 200 years of isolation.,TNG
The crew's memories are mysteriously erased. They soon discover that they are being manipulated into taking part in a war.,TNG
"Troi, O'Brien, and Data are possessed by entities who want control of the ship.",TNG
"Worf becomes paralyzed, possibly for life, and ask Riker to assist him in the Hegh'bat ceremony, a Klingon suicide ritual. Dr. Crusher consults a risk-taking researcher to save his life.",TNG
"Riker falls in love with an androgynous alien during their efforts to rescue others of the same race who were trapped in ""null space"".",TNG
The Enterprise becomes stuck in a time loop but the crew retain some memory of previous instances. Guest star Kelsey Grammer as Morgan Bateson.,TNG
Wesley is questioned over a Starfleet Academy flight training accident. Guest star Ray Walston as Boothby.,TNG
"Deanna's mother, Lwaxana, arrives to marry a man she has never met. Worf has difficulty rearing Alexander, which is exacerbated when Lwaxana takes the boy under her wing.",TNG
Picard forces himself to resist the charms of a female empathic metamorph who is sent to marry an alien leader as a peace offering. Guest star Famke Janssen as Kamala.,TNG
A child's imaginary playmate takes on a physical form and threatens the well-being of the Enterprise.,TNG
"The Enterprise rescues a Borg survivor, whom Geordi names 'Hugh'. Picard plans to upload a destructive computer virus to Hugh so the virus will spread throughout the collective when Hugh is sent back.",TNG
"A transporter accident traps Geordi and Ensign Ro out of phase with normal space. While the others plan their funeral, Geordi and Ro must find a way to reverse the process and save the Enterprise from destruction.",TNG
"A space probe creates a telepathic tether to Picard and causes him to experience, in twenty-five minutes, a lifetime as a married man on a world that was destroyed a millennium ago.",TNG
A 500-year-old artifact is uncovered on Earth: Data's severed head. The Enterprise investigates alien involvement in Earth's past and Data fulfills his destiny.,TNG
The Enterprise crew follow Data to San Francisco of the 1890s. The crew deals with Samuel Clemens and runs into Jack London while trying to find a way to prevent aliens from interfering with 19th century Earth. Guest star: Jerry Hardin as Samuel Clemens.,TNG
Barclay must overcome his fear of the transporter to solve a mystery.,TNG
"A psychic ambassador uses Deanna's mind to influence the outcome of his mission, endangering her life in the process.",TNG
The Enterprise investigates a vessel that crashed on the surface of a Dyson sphere 75 years ago. A pattern is found in the transporter buffer that turns out to be Montgomery Scott. He is released from the buffer and later agrees to return to the vessel with Geordi to help restore the logs. They become the only hope when the Enterprise is accidentally pulled inside the sphere. Guest Star: James Doohan as Montgomery Scott,TNG
"Several members of the crew are abducted and experimented on while they sleep, including Riker, Worf, La Forge and Data, and become sleep deprived.",TNG
"Q reveals a secret about a young woman from Kansas who is visiting the Enterprise. She is a Q, and so were her parents. Guest stars: Olivia d'Abo as Amanda Rogers, and John de Lancie as Q.",TNG
"A transporter malfunction turns Picard, Keiko, Ro and Guinan into children who become the ship's only hope when they are left aboard while the adult crew are forced to perform dangerous labor by Ferengi pirates.",TNG
"Data's mind is connected to the ship's computer, which creates unforeseen effects on the holodeck.",TNG
"Data observes that mining tools have become sentient beings and fights for their preservation. To save Captain Picard, the tools must be put in harm's way. Data refuses to allow this since it is unacceptable to kill one sentient being to save another. One of these tools decides to give its own life to save the others. Based upon material by L.J. Scott.",TNG
Captain Jellico is assigned command of the Enterprise while Picard is sent on a covert mission into Cardassian territory. Guest star: Ronny Cox as Edward Jellico.,TNG
"Picard, having been captured, is tortured by a sadistic Cardassian interrogator (played by David Warner).",TNG
Barclay accidentally awakens Professor Moriarty on the holodeck who uses the powers at his disposal to coerce the crew into finding a way to allow him to leave the holodeck. Guest star: Daniel Davis as Professor Moriarty.,TNG
Geordi falls for an alien Starfleet officer who is suspected of murder. Guest star Renée Jones as Aquiel Uhnari.,TNG
Deanna is involuntarily recruited to assist in the transport of Romulan defectors across the border.,TNG
An accident kills Picard. He finds an afterlife with Q analyzing his past choices.,TNG
Worf is told on Deep Space Nine that his father is alive and is being held prisoner by the Romulans. Meanwhile an engineering experiment accidentally results in Data's first dream. Guest star: James Cromwell as Jaglom Shrek.,TNG
"Worf, now a prisoner, tries to teach the Klingon refugees the ways of the warrior.",TNG
Thieves attempt to steal trilithium from the Enterprise during a Baryon sweep at the Remmler Array and Picard alone must thwart them.,TNG
Picard becomes involved with a woman who is serving on the Enterprise but he must send her into a dangerous mission.,TNG
Picard tries to solve an ancient genetic mystery uncovered by his archaeological mentor and faces stiff competition. Guest star: Norman Lloyd as Richard Galen.,TNG
Riker finds himself prisoner in an alien mental institution that resembles scenes from Crusher's play.,TNG
Dr. Crusher risks her career to solve the murder of Ferengi scientist Dr. Reyga and vindicate his research.,TNG
Worf experiences a crisis of faith and travels to a Klingon holy site where the mythic figure Kahless returns to lead the Klingon people.,TNG
"Riker encounters a duplicate of himself, Thomas Riker, created by a transporter malfunction. Thomas vies for Deanna's affections.",TNG
The Enterprise is caught in temporal stasis and on the brink of destruction by a Romulan Warbird.,TNG
The crew encounter a group of Borg acting individually and Data briefly experiences emotions. Professor Stephen Hawking makes a guest appearance.,TNG
"Enterprise (NX-01) is launched, and Captain Archer finds himself in the middle of a Temporal Cold War involving Klingons and Suliban. Originally shown as a Two-hour Pilot Movie, but in syndication is shown as two separate episodes.",ENT
"Ensign Sato faces her fears on an alien ship whose crew was murdered, while Lieutenant Reed tries to upgrade the ship's defense system.",ENT
"A storm traps an away team in a cave on an alien world, and pollen spores cause them to experience psychosis.",ENT
"Commander Tucker helps an alien crew fix their engines, has an ""interspecies encounter"" in a holodeck, and returns to find himself pregnant.",ENT
Enterprise is sent to learn what happened to an early Human colony called Terra Nova.,ENT
"Captain Archer, Commander Tucker, and Sub-Commander T'Pol are taken hostage by Andorians in a Vulcan monastery called P'Jem.",ENT
Lieutenant Reed and Ensign Mayweather extract a rare chemical on a comet while Sub-Commander T'Pol considers marriage to Koss.,ENT
Captain Archer and an away team go undercover to a pre-industrial civilization in order to investigate an unexpected sensor reading.,ENT
"The cargo ship Fortunate is damaged by Nausicaan pirates and Enterprise offers a helping hand, only to find the acting-captain has secret plans.",ENT
Captain Archer learns that Crewman Daniels is covertly helping to fight the Temporal Cold War against Silik and members of the Suliban Cabal.,ENT
"Ensign Sato tries to find out what Lieutenant Reed's favorite food is, while Captain Archer deals with a secretive and aggressive alien first contact.",ENT
Doctor Phlox and Captain Archer must decide the fate of two species suffering from an evolutionary pandemic.,ENT
"Ensign Sato, Lieutenant Reed and Sub-Commander T'Pol attempt to help an unresponsive Klingon ship escape the crushing pressures of a gas giant.",ENT
"Sub-Commander T'Pol is recalled to Vulcan. During her final away mission, she and Captain Archer are kidnapped, leading to another confrontation between Vulcans and Andorians.",ENT
"After finding debris from Enterprise, Lieutenant Reed and Commander Tucker are stranded in a shuttlepod far from help.",ENT
"Enterprise encounters a crew of emotional Vulcans; Sub-Commander T'Pol experiences an illicit mind meld, with unsettling results.",ENT
"While exploring an uncharted planet, Enterprise crew members encounter a group of aliens who are hunting down indigenous creatures (Wraiths) for sport. Stephanie Niznik guest stars as the wraith alien.[18]",ENT
"A group of Ferengi hijack Enterprise, but Commander Tucker, Captain Archer and Sub-Commander T'Pol resist the pirates in order to win back their ship.",ENT
"Captain Archer and an away team find a mysterious crew apparently alive on a ship that crash-landed years ago. René Auberjonois, from Deep Space Nine, guest stars as their leader.",ENT
Captain Archer and Ensign Mayweather find themselves imprisoned in a Suliban internment camp run by the Tandarans.,ENT
"A strange, symbiotic alien creature boards Enterprise and starts kidnapping members of the crew.",ENT
Enterprise finds itself under attack while transporting a controversial Vulcan ambassador.,ENT
"Commander Tucker and Captain Archer are invited to a desert planet by a man named Zobral, only to discover that he has ulterior motives.",ENT
"Enterprise finally arrives for shore leave on Risa. While there, the crew experience more than they are later willing to admit.",ENT
"Enterprise is recalled to Earth after the crew is blamed for the accidental destruction of a colony world. En route, it is hijacked by Suliban and Captain Archer is trapped in the future.",ENT
"As a group of Suliban take over Enterprise, Captain Archer tries to return to the 22nd century.",ENT
Sub-Commander T'Pol relates the tale of a Vulcan crew stranded on Earth in the 1950s.,ENT
Enterprise snags a cloaked mine and Lieutenant Reed and Captain Archer race to disable it during first contact with the Romulan Star Empire.,ENT
"Heavily damaged by the Romulan mine, Enterprise is repaired by an unmanned and automated sentient alien repair station.",ENT
"The Captain's beagle, Porthos, becomes ill from an alien pathogen, and Captain Archer frets in Sickbay waiting for him to recover.",ENT
"Captain Archer barters for deuterium from a mining colony plagued by Klingon marauders, who are seeking deuterium as well.",ENT
"Sub-Commander T'Pol is reactivated as a Vulcan intelligence agent, reawakening a dark secret from her past.",ENT
"After an away mission, Lieutenant Reed discovers that his communicator was lost on a pre-warp planet; he and Captain Archer are then captured trying to retrieve it.",ENT
"Enterprise charts a course through a trinary star system to investigate a black hole, and the crew find themselves suffering from a condition similar to OCD.",ENT
"After her first trip through the transporter, Ensign Sato finds herself becoming incorporeal, with the crew believing she has perished.",ENT
"While answering a distress call, Commander Tucker is kidnapped along with a demanding alien princess.",ENT
The Enterprise crew takes refuge inside one of the warp nacelles to avoid an inescapable radiation belt.,ENT
Commander Tucker is fired upon by an Arkonian ship and is then stranded on a planet with his attacker.,ENT
"Sub-Commander T'Pol learns she has Pa'nar Syndrome, contracted from her mind meld in ""Fusion"", and faces being ostracized by Vulcan society.",ENT
Captain Archer negotiates a cease fire between the Andorians and the Vulcans.,ENT
"Enterprise finds a derelict ship, only to be attacked by both Suliban and Tholian ships.",ENT
"Mistaken as smugglers, Captain Archer and Commander Tucker find themselves on a prisoner transport ship.",ENT
Incorporeal aliens attempt to take over Enterprise.,ENT
Captain Archer is arrested and imprisoned by the Klingons for allegedly conspiring against the Empire.,ENT
"After the death of his father, Ensign Mayweather visits his family on their cargo ship and begins to reconsider his place aboard Enterprise.",ENT
"Due to the demands of a militant faction, Enterprise is asked to retrieve Denobulan geologists from an alien cave. Dr. Phlox must treat a patient with racist views against his people.",ENT
Enterprise encounters the Vissians and Commander Tucker finds himself troubled by the fact the Vissians are a three-sexed species.,ENT
